H_C;IGBP;SITE_ID
2;SAV;ES-Abr
0;OSH;ES-Agu
0;OSH;ES-Amo
1;OSH;ES-CPa
0;WSA;ES-Cnd
3;CSH;ES-Crg
9;ENF;ES-ES1
0;CRO;ES-ES2
0;EBF;ES-Gdn
0;SAV;ES-Gdn
5;ENF;ES-Hen
0;OSH;ES-LJu
5;SAV;ES-LM1
4;SAV;ES-LM2
4;SAV;ES-LMa
0;OSH;ES-LgS
0;OSH;ES-Ln1
0;OSH;ES-Ln2
0;EBF;ES-Mcd
5;EBF;ES-Mzn
0;WET;ES-Pdu
2;GRA;ES-Pzb
2;EBF;ES-Srn
0;CRO;ES-TzM
0;GRA;ES-VDA
0;ENF;ES-Yst

