,N_leaf,Cab,Car,Ant,Cbrown,Cw,Cm,LAI,leaf_angle,hotspot,bs,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
0,2.5715881194919348,0.8840406965464354,7.98810669220984,12.66614031046629,0.8336184285581112,0.05001053274376318,0.005509513502940535,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.027088915438087433,0.03272522749144254,0.0614065967186753,0.2099959327100617,0.2936110152119618,0.3523102542293378,0.4119521704098274,0.4657569640316014,0.49918983974248443,0.49937127075353793,0.19200145904137578,0.16126751617692525,0.06152449517987097
1,1.623326763510704,0.8840406965464354,7.98810669220984,12.66614031046629,0.8336184285581112,0.05001053274376318,0.005509513502940535,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.02113064407321821,0.023255776063740165,0.03852868108442389,0.16141114690100156,0.23874727108478067,0.29332355256800036,0.3484856935525756,0.39978920238638116,0.43148525760924517,0.43202015342529065,0.1466941322397805,0.1183099759311068,0.037563136391204836
2,2.5715881194919348,54.114338820800185,7.98810669220984,12.66614031046629,0.8336184285581112,0.05001053274376318,0.005509513502940535,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.0213571400188223,0.02609215790309824,0.03926118012573744,0.027772776166187632,0.1044838594958791,0.3005179941290596,0.40431013233733676,0.4585053392182541,0.49195745160691046,0.49346402347190393,0.19063380649963907,0.1600464908951821,0.060541110996008514
3,2.5715881194919348,0.8840406965464354,4.948703600093722,12.66614031046629,0.8336184285581112,0.05001053274376318,0.005509513502940535,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.03311307667722203,0.03742733982875905,0.06062595088103901,0.20944854915318423,0.29342874734008856,0.3526919614725926,0.41199166444485724,0.46515103626208615,0.4977297392418274,0.4980520881024219,0.19439934170461554,0.1629312771040799,0.06301914544462911
4,2.5715881194919348,0.8840406965464354,7.98810669220984,23.81169956177473,0.8336184285581112,0.05001053274376318,0.005509513502940535,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.024560117120292286,0.02694140186277544,0.04085382314413239,0.20288828140672532,0.2937442339206292,0.35182699741288753,0.4104315040633298,0.4635549989936687,0.4964564753607139,0.49568545631106575,0.1903778713982149,0.15967256860211032,0.06105820774235873
5,2.5715881194919348,0.8840406965464354,7.98810669220984,12.66614031046629,1.1380141153931618,0.05001053274376318,0.005509513502940535,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.027780567956429265,0.03324317436460688,0.05874040978196068,0.18628863797757422,0.2590562814760264,0.3163398370396655,0.3792986072485971,0.44113511396042593,0.48113580442977716,0.4927151901524508,0.19390024810697276,0.1643170140829626,0.06408169549784586
6,2.5715881194919348,0.8840406965464354,7.98810669220984,12.66614031046629,0.8336184285581112,0.026549118699040263,0.005509513502940535,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.02721797273624352,0.03340761516608337,0.06385457090900862,0.2158260662496705,0.3023978683244144,0.3639462266729061,0.42580295926896805,0.4839458877798391,0.5212851651386456,0.5420357764917512,0.2749199445018724,0.23765180515209014,0.10324493031323616
7,2.5715881194919348,0.8840406965464354,7.98810669220984,12.66614031046629,0.8336184285581112,0.05001053274376318,0.032175963034108274,3.3953221142292023,52.330904845148325,0.6827463861554861,0.9095736345276236,0.02593439389192775,0.032407201329906495,0.05864967980345102,0.17990759702804895,0.23595901130720032,0.2702059427998219,0.30083243545099775,0.32506704609974496,0.33861960006284925,0.3388074824284726,0.16039951426518673,0.12494753232896053,0.04194945686132894
8,2.5715881194919348,0.8840406965464354,7.98810669220984,12.66614031046629,0.8336184285581112,0.05001053274376318,0.005509513502940535,4.134626664221287,52.330904845148325,0.6827463861554861,0.9095736345276236,0.02837777283069095,0.03371882221514731,0.0624117007684511,0.21451468267051682,0.3014050284186726,0.3631594097155766,0.4272965863735107,0.4860582544398382,0.5229635745612979,0.5208743802613924,0.19033437562051092,0.15868120876500894,0.05498303225617207
9,2.5715881194919348,0.8840406965464354,7.98810669220984,12.66614031046629,0.8336184285581112,0.05001053274376318,0.005509513502940535,3.3953221142292023,51.1658045463264,0.6827463861554861,0.9095736345276236,0.027449743363301714,0.032546384022100916,0.06023640232639629,0.2091889587682429,0.2926740310818272,0.35075128651491433,0.4091203751665865,0.46313186714735705,0.49657057012204636,0.49852382154730496,0.19303405054733838,0.16198150417479387,0.06077778023098782
