TIMESTAMP_UTC;AOT;TCWV;B02;B03;B04;B05;B06;B07;B08;B8A;B11;B12
2015-10-04T00:00:00.000Z;;;;;;;;;;;;
2015-11-13T00:00:00.000Z;0.11;1.0150208333333335;0.06615;0.09089375000000001;0.09112916666666666;0.12989166666666668;0.202525;0.22158750000000002;0.235375;0.24149583333333333;0.22728541666666666;0.15755625
2015-11-16T00:00:00.000Z;0.0770625;0.7404791666666667;0.03493541666666667;0.05935833333333334;0.06265625;0.09450625;0.1551625;0.17178958333333333;0.18797083333333334;0.18827291666666668;0.17965208333333332;0.12012291666666668
2015-11-26T00:00:00.000Z;0.066;0.6733958333333334;0.03434166666666667;0.05965416666666667;0.06292916666666666;0.09353125000000001;0.1551854166666667;0.17194791666666667;0.18702083333333333;0.18989375;0.17928958333333334;0.12037083333333333
2015-12-03T00:00:00.000Z;0.08808333333333333;1.1546666666666667;0.03920208333333333;0.0679375;0.06980833333333335;0.10970208333333333;0.18122291666666668;0.2007604166666667;0.21163958333333333;0.21863125;0.19625833333333334;0.1333541666666667
2015-12-06T00:00:00.000Z;;;;;;;;;;;;
2015-12-16T00:00:00.000Z;;;;;;;;;;;;
2015-12-23T00:00:00.000Z;;;;;;;;;;;;
2015-12-26T00:00:00.000Z;;;;;;;;;;;;
2016-01-02T00:00:00.000Z;;;;;;;;;;;;
2016-01-05T00:00:00.000Z;;;;;;;;;;;;
2016-01-12T00:00:00.000Z;0.07200000000000001;0.9933958333333334;0.04025625;0.06768333333333335;0.0699625;0.10631458333333334;0.17637291666666668;0.19573125;0.20859375000000002;0.21391875000000002;0.1953166666666667;0.13417500000000002
2016-01-22T00:00:00.000Z;;;;;;;;;;;;
2016-01-25T00:00:00.000Z;0.0770625;1.1577291666666667;0.4216375;0.434825;0.451575;0.49086666666666673;0.52876875;0.5385354166666667;0.5581;0.5578166666666667;0.5799979166666668;0.5349645833333333
2016-02-01T00:00:00.000Z;0.0770625;0.7711666666666667;0.04459375;0.07202916666666667;0.07803958333333334;0.11193125000000001;0.17850000000000002;0.19459375;0.21175625;0.21423541666666665;0.20525000000000002;0.14138958333333335
2016-02-04T00:00:00.000Z;0.0770625;0.5300208333333334;0.038206250000000004;0.06229791666666667;0.06741875;0.09586041666666667;0.1508479166666667;0.16979166666666667;0.18687083333333335;0.18461666666666668;0.18084583333333334;0.12252500000000001
2016-02-11T00:00:00.000Z;;;;;;;;;;;;
2016-02-14T00:00:00.000Z;;;;;;;;;;;;
2016-02-21T00:00:00.000Z;;;;;;;;;;;;
2016-03-02T00:00:00.000Z;;;;;;;;;;;;
