LAI,Kc
3.292285152813333e-06,0.5914609734653995
8.99298181863405e-06,0.4612471055999671
2.005810504982335e-05,0.30947539421767367
3.910525624119143e-05,0.6669446639378704
6.92670040587553e-05,0.443412308403596
0.00011418623678693592,0.45451793816124164
0.00017801075472352837,0.48047695288804754
0.0002653871093545504,0.47418861611500407
0.0003814536969796452,0.4507924822989242
0.0005318331153881024,0.38889951199145495
0.0007226237931046317,0.43514630965343093
0.0009603909016316744,0.5112044898404599
0.001252156562010179,0.5184852884658807
0.0016053893579023352,0.5036103088501982
0.002027993168266693,0.4627798565878414
0.0025282953335471867,0.5875176541763802
0.0031150341701325778,0.29427534791328375
0.0037973458486589224,0.48137171056496086
0.004584750652526502,0.6765211008050269
0.0054871386337807925,0.3063337374287278
0.006514754684265067,0.3761531673347228
0.0076781830406886095,0.34158405123285096
0.008988331242968634,0.33739410428027555
0.010456413565894591,0.3308105453730469
0.012093933944830888,0.39081576303907645
0.013912668416814915,0.4816841290857954
0.01592464709902448,0.34855141549826835
0.018142135727178085,0.408112338082564
0.0205776167769939,0.3409000799195824
0.02324377019236966,0.3613911307076962
0.026153453744449964,0.5427247967272042
0.029319683046227035,0.49250705310841864
0.03275561124776791,0.3366902589658823
0.03647450843757888,0.36369964275950073
0.04048974077600456,0.5110251166755607
0.04481474938691692,0.6892212017837844
0.049463029034270495,0.7039761782687903
0.054448106610395855,0.6546685647360001
0.05978351946316097,0.6444022397335304
0.0654827935893602,0.7108727119926695
0.07155942172188104,0.503541393528687
0.0780268413383651,0.6338888644855311
0.08489841261920274,0.6548892984260618
0.09218739638280145,0.6369168128834851
0.0999069320261207,0.6711207174147164
0.10807001549850133,0.696429389469494
0.11668947733680442,0.7268434656664354
0.12577796078984002,0.5444152156038484
0.13534790005998507,0.6170389454434987
0.1454114986897885,0.6971083508409837
0.15598070812121495,0.7699949135699752
0.16706720645500983,0.7666230632549704
0.17868237743745197,1.040000259862764
0.19083728970152813,0.9664942040710188
0.20354267628928388,0.8901782717512942
0.21680891448180065,0.9004280125093662
0.2306460059629168,0.9973992040465065
0.24506355734242954,1.18936715267969
0.26007076106412386,1.1617524985099061
0.27567637672354023,1.1475895132777383
0.29188871281992806,1.0392628451578934
0.30871560896634903,1.161935032353195
0.32616441858135864,1.0039809362506236
0.3442419920851672,0.9179172634284654
0.3629546606225828,0.8798964690256889
0.38230822033445244,0.9526321808111357
0.40230791719867265,0.9528652076706324
0.4229584324612028,1.1289368069387482
0.4442638686768129,1.2715082580855106
0.46622773637860554,1.076717784713328
0.48885294139462515,1.1729015804258704
0.5121417728291058,1.0733896496305924
0.5360958917251497,1.2822100574319133
0.5607163204248208,1.4882083134531827
0.586003432641842,1.4337925634979858
0.6119569442612375,1.4418941243995687
0.6385759048794244,0.9853531127122103
0.6658586900973833,1.214289621330666
0.6938029945786618,1.0564754416850204
0.7224058258830672,1.1638322824657208
0.7516634990859864,1.2659554738873966
0.7815716321923681,1.3230028726171688
0.8121251423534409,1.2016280513507416
0.8433182428933264,1.4219875075503776
0.8751444411517226,1.2280834249293553
0.9075965371478986,1.257933334446305
0.9406666230702545,1.3404836295800036
0.974346083594727,1.1798572621384567
1.008625597034356,1.2423736939159589
1.0434951373213293,1.3672389768623379
1.0789439768218414,1.3030440245406496
1.1149606899831177,1.3929366477072376
1.1515331578109724,1.4559103873713604
1.1886485731752774,1.4094465548866018
1.2262934469397355,1.16220164222046
1.2644536149113754,1.4244593360492346
1.3031142456042137,1.4512870252334507
1.342259848810554,1.4860315505025063
1.3818742849724248,1.419437102001078
1.421940775344735,1.5169605474851762
1.462441912940733,1.5554466610723747
1.5033596742494593,1.6331448046024624
1.5446754317139446,1.7751450895043124
1.586369966957997,1.8059935619963465
1.628423484748522,1.5077113840477088
1.670815627679445,1.4711531852988
1.7135254915624214,1.5652650734248805
1.7565316415086973,1.3635491138666629
1.7998121286856312,1.1570871300486112
1.8433445077305701,2.820156785625762
1.8871058548040076,2.680179203594841
1.9310727862631398,1.7156416754680954
1.9752214779362294,1.4782387705844775
2.0195276849774038,1.5755323159679002
2.063966762280877,1.7800211274199684
2.1085136854328197,1.6781111460033944
2.153143072178545,1.5560439390008642
2.197829204381947,1.5247310158180616
2.242546050453601,1.5078894895990234
2.2872672882233225,1.365344610776981
2.331966328232438,1.5677588771139397
2.376616337420511,1.7593961741272754
2.4211902631807596,1.4962489545387905
2.46566085775796,1.8130878761455393
2.510000702962184,1.6477082827428207
2.554182235171331,1.389914623428215
2.5981777705950395,1.6188239968141078
2.641959530772227,2.0963268881071384
2.6854996682742147,2.062589419086828
2.7287702925850987,1.8111030593545756
2.771743496130823,1.8197660315546418
2.814391380428167,1.5312417326925
2.8566860823247278,1.5187398028542922
2.8985998003008095,1.7296951767994093
2.9401048208040326,2.288713349468307
2.981173544587433,1.6841162358426904
3.021778513021734,2.3509248315674345
3.061892434352532,2.4000902571666924
3.1014882098731165,2.1882336425911655
3.140538959983744,1.938842237225052
3.17901805010827,1.527116348005774
3.2168991164391953,1.78024374265137
3.2541560914823173,1.954630541984125
3.290763229372425,1.7596456732922015
3.326695130931671,1.8339317059366285
3.3619267684425345,1.5962715875389968
3.3964335101076104,2.028423669587213
3.4301911441687705,1.8329841793893984
3.463175902658598,1.8682970310225122
3.495364484757433,1.7209084692302556
3.526734079729767,1.799915052705253
3.55726238941417,1.9286696150450011
